"vmname","Guest IP","Datacenter","PowerState","OS","Version","Folder","ToolsStatus","VMHost","Cluster","NumCpu","MemMB","DiskGB","Notes"
"int-backupdashboard-web","10.107.123.17 fe80::250:56ff:fe94:6f7e","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\","toolsOld","mxavhes0008.active.tan","CorporateCluster","1","2048","16",""
"int-gtodashboard-db-01","10.107.123.77 fe80::250:56ff:fe86:5f88","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\GTODashboard\","toolsOld","mxavhes0001.active.tan","CorporateCluster","1","2048","16",
"int-gtodashboard-web-01","10.107.123.76 fe80::250:56ff:fe86:6786","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\GTODashboard\","toolsOld","mxavhes0011.active.tan","CorporateCluster","1","2048","16",
"int-viewmobile-app-01","10.107.123.36 fe80::250:56ff:fe86:7a2b","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0003.active.tan","CorporateCluster","4","4096","16",""
"int-viewmobile-app-02","10.107.123.164 fe80::250:56ff:fe86:7af3","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0004.active.tan","CorporateCluster","4","4096","16",""
"int-viewmobile-app-03","10.107.123.165 fe80::250:56ff:fe86:5bee","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0009.active.tan","CorporateCluster","4","4096","16",""
"int-viewmobile-cms-01","10.107.123.40 fe80::250:56ff:fe86:5de6","XADC NonProd","PoweredOff","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsNotRunning","mxavhes0008.active.tan","CorporateCluster","4","4096","16",""
"int-viewmobile-db-01","10.107.123.35 fe80::250:56ff:fe86:4300","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0011.active.tan","CorporateCluster","4","4096","16",
"int-viewmobile-memcached-02","10.107.123.45 fe80::250:56ff:fe86:2025","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0008.active.tan","CorporateCluster","2","4096","16",""
"int-viewmobile-web-01","","XADC NonProd","PoweredOff",,"v8","Sports - o6\Discovered virtual machine\","toolsNotRunning","mxavhes0001.active.tan","CorporateCluster","4","4096","16",
"int-viewnoc-db-01","10.107.123.71 fe80::250:56ff:fe86:3d8d","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\ViewNoc\","toolsOld","mxavhes0011.active.tan","CorporateCluster","1","2048","16",
"int-viewnoc-web-01","10.107.123.70 fe80::250:56ff:fe86:2224","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\ViewNoc\","toolsOld","mxavhes0006.active.tan","CorporateCluster","1","2048","16",""
"johntest","10.107.123.199","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v9","Corporate - o4\Corporate - o4.m6\SOI Infrastructure - o4.m6.p67\SOI test\","toolsOk","mxavhes0004.active.tan","CorporateCluster","8","4096","100",
"LiteRegDB","","XADC NonProd","PoweredOff",,"v8","Business Solutions - o7\SMB Events - o7.m19\LiteReg-Wannado - o7.m19.p117\","toolsNotInstalled","mxavhes0010.active.tan","CorporateCluster","4","4000","29.3",""
"LS00070005_HR PTO","10.107.100.106 fe80::250:56ff:feb2:32","XADC NonProd","PoweredOn","Other 2.6.x Linux (64-bit)","v7","Corporate - o4\Corporate - o4.m6\HR Systems - o4.m6.p158\","toolsOld","mxavhes0006.active.tan","CorporateCluster","1","1008","20",""
"LVASSONARDB01","10.107.122.20 fe80::250:56ff:fe94:4cf2","XADC NonProd","PoweredOn","Oracle Linux 4/5/6/7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\A3 Asset Service - o4.m7.p154\","toolsOk","mxavhes0010.active.tan","CorporateCluster","2","8192","100",""
"Mary-Test","10.107.122.210","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\SOI Infrastructure - o4.m6.p67\2BDeleted\","toolsOld","mxavhes0004.active.tan","CorporateCluster","2","2048","50",""
"Mobile-1","10.107.123.63 fe80::250:56ff:fe86:7f80 192.168.122.1","XADC NonProd","PoweredOn","Oracle Linux 4/5/6/7 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\Mobile\","toolsOld","mxavhes0010.active.tan","CorporateCluster","2","4080","54.53",""
"Mobile-2","10.107.123.64 fe80::250:56ff:fe86:61dd","XADC NonProd","PoweredOn","Oracle Linux 4/5/6/7 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\Mobile\","toolsOld","mxavhes0004.active.tan","CorporateCluster","2","4080","54.53",
"Mobile-3","10.107.123.65 fe80::250:56ff:fe86:76e5 192.168.122.1","XADC NonProd","PoweredOn","Red Hat Enterprise Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\Mobile\","toolsOld","mxavhes0010.active.tan","CorporateCluster","2","4080","54.53",""
"MSIE7","192.168.76.1 10.107.122.240","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0007.active.tan","CorporateCluster","4","4096","120",
"MSIE7_01","192.168.41.1 10.107.122.241 fe80::6c9d:babc:8966:7de1 192.168.49.1 192.168.137.1 169.254.225.64 fe80::183e:aeef:3352:d938","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Incubator - o5\Golf - o5.m12\Golf - Jencess - o5.m12.p84\","toolsOld","mxavhes0010.active.tan","CorporateCluster","4","4096","120",""
"mxocrpoc0001.dev.activenetwork.com","10.107.123.87 fe80::250:56ff:fe94:28f1","XADC NonProd","PoweredOn","SUSE Linux Enterprise 11 (64-bit)","v7","Corporate - o4\Corporate - o4.m6\SOI Infrastructure - o4.m6.p67\","toolsOk","mxavhes0010.active.tan","CorporateCluster","2","4096","12","Automate tasks for VMware vSphere and enable orchestration between multiple solutions. VMware vCenter Orchestrator allows administrators to capture their best practices and turn them into automated workflows."
"mxvcws0001.active.tan","10.107.100.50","XADC NonProd","PoweredOn","Microsoft Windows Server 2008 R2 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\SOI Infrastructure - o4.m6.p67\","toolsOld","mxavhes0006.active.tan","CorporateCluster","2","6144","120",""
"mxvcws0003.active.tan","10.107.100.49","XADC NonProd","PoweredOn","Microsoft Windows Server 2008 R2 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\SOI Infrastructure - o4.m6.p67\","toolsOld","mxavhes0006.active.tan","CorporateCluster","2","4000","200",""
"NAW2K8R2","","XADC NonProd","PoweredOff",,"v8","Sports - o6\Discovered virtual machine\","toolsNotRunning","mxavhes0003.active.tan","CorporateCluster","1","2048","16","soi sandbox template"
"Network Connector","10.107.100.155","XADC NonProd","PoweredOn","Microsoft Windows Server 2008 (32-bit)","v8","Corporate - o4\Corporate - o4.m6\Network Infrastructure Services - o4.m6.p65\","toolsOld","mxavhes0005.active.tan","CorporateCluster","1","1024","30",
"openphoto","10.107.123.91 fe80::250:56ff:fea6:4372","XADC NonProd","PoweredOn","Ubuntu Linux (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Infrastructure Shared Services - o4.m6.p61\","toolsOld","mxavhes0011.active.tan","CorporateCluster","4","2008","15",
"Oracle_1","10.107.122.81 fe80::250:56ff:fea6:300f","XADC NonProd","PoweredOn","Oracle Linux 4/5/6/7 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\SOI Infrastructure - o4.m6.p67\ChargeBack\","toolsOld","mxavhes0008.active.tan","CorporateCluster","1","4000","39.06","ChargeBack,health check,avaya DEV DB"
"OurPhoto","10.107.123.92 fe80::250:56ff:fea6:3022","XADC NonProd","PoweredOn","Ubuntu Linux (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Infrastructure Shared Services - o4.m6.p61\","toolsOld","mxavhes0009.active.tan","CorporateCluster","4","2008","115",
"PC-DEV-01","10.107.123.11 fe80::250:56ff:fea8:9655","XADC NonProd","PoweredOn","Ubuntu Linux (64-bit)","v8","Business Solutions - o7\Lite Registration - o7.m14\Plancast - o7.m14.p88\","toolsOld","mxavhes0003.active.tan","CorporateCluster","4","2008","170",
"PC-QA-01","10.107.123.12 fe80::250:56ff:fea8:9657","XADC NonProd","PoweredOn","Ubuntu Linux (64-bit)","v8","Business Solutions - o7\Lite Registration - o7.m14\Plancast - o7.m14.p88\","toolsOld","mxavhes0011.active.tan","CorporateCluster","4","2008","40",
"qa-activerun-01.dev.activenetwork.com","","XADC NonProd","PoweredOn","Ubuntu Linux (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\CIC\","toolsNotInstalled","mxavhes0003.active.tan","CorporateCluster","2","2008","15","INC2162962"
"QAbroswertest01","10.107.123.230","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0010.active.tan","CorporateCluster","2","4096","50",""
"QAbroswertest02","10.107.123.231","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0003.active.tan","CorporateCluster","2","4096","50",
"QAbroswertest03","10.107.123.232","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0011.active.tan","CorporateCluster","2","4096","50",
"qalatest-gtodashboard-db-01","10.107.123.79 fe80::250:56ff:fe86:1437","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\GTODashboard\","toolsOld","mxavhes0004.active.tan","CorporateCluster","1","2048","16",
"qalatest-gtodashboard-web-01","10.107.123.78 fe80::250:56ff:fe86:6ea6","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\GTODashboard\","toolsOld","mxavhes0005.active.tan","CorporateCluster","1","2048","16",
"qalatest-viewmobile-app-01","10.107.123.39 fe80::250:56ff:fe86:36af","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0011.active.tan","CorporateCluster","4","4096","16",
"qalatest-viewmobile-app-02","10.107.123.166 fe80::250:56ff:fe86:72fe","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0004.active.tan","CorporateCluster","4","4096","16",""
"qalatest-viewmobile-app-03","10.107.123.167 fe80::250:56ff:fe86:373d","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0009.active.tan","CorporateCluster","4","4096","16",""
"qalatest-viewmobile-cms-01","","XADC NonProd","PoweredOn",,"v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsNotInstalled","mxavhes0007.active.tan","CorporateCluster","4","4096","16",""
"qalatest-viewmobile-db-01","10.107.123.38 fe80::250:56ff:fe86:7a0c","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0005.active.tan","CorporateCluster","4","4096","16",
"qalatest-viewmobile-memcached-01","10.107.123.47 fe80::250:56ff:fe86:63b","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0008.active.tan","CorporateCluster","2","4096","16",""
"qalatest-viewmobile-memcached-02","10.107.123.48 fe80::250:56ff:fe86:7358","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0008.active.tan","CorporateCluster","2","4096","16",""
"qalatest-viewmobile-web-01","10.107.123.37 fe80::250:56ff:fe86:54e3","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0008.active.tan","CorporateCluster","4","4096","16",""
"qalatest-viewnoc-db-01","10.107.123.73 fe80::250:56ff:fe86:5b88","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\ViewNoc\","toolsOld","mxavhes0011.active.tan","CorporateCluster","1","2048","16",
"qalatest-viewnoc-web-01","10.107.123.72 fe80::250:56ff:fe86:262d","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\ViewNoc\","toolsOld","mxavhes0008.active.tan","CorporateCluster","1","2048","16",""
"qa-LeagueOne-01w","","XADC NonProd","PoweredOn",,"v8","Sports - o6\Team Sports - o6.m21\League One - o6.m21.p137\QA\","toolsNotInstalled","mxavhes0008.active.tan","CorporateCluster","4","4096","32",""
"qa-LeagueOne-02w","","XADC NonProd","PoweredOn",,"v8","Sports - o6\Team Sports - o6.m21\League One - o6.m21.p137\QA\","toolsNotInstalled","mxavhes0002.active.tan","CorporateCluster","4","4096","30",""
"qa-LeagueOne-win7X64","10.107.100.169","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Sports - o6\Team Sports - o6.m21\League One - o6.m21.p137\","toolsOk","mxavhes0009.active.tan","CorporateCluster","4","8192","160",
"qa-mobview-app-011","","XADC NonProd","PoweredOff",,"v8","Sports - o6\Discovered virtual machine\","toolsNotRunning","mxavhes0003.active.tan","CorporateCluster","4","4080","50",
"qa-mobview-db-01","10.107.123.161 fe80::250:56ff:fe86:c2e 192.168.122.1","XADC NonProd","PoweredOn","Red Hat Enterprise Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0008.active.tan","CorporateCluster","4","4080","50",""
"qa-mobview-web-01","10.107.123.115 fe80::250:56ff:fea6:305b","XADC NonProd","PoweredOn","Oracle Linux 4/5/6/7 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0004.active.tan","CorporateCluster","2","2000","59.53",
"qastable-gtodashboard-db-01","","XADC NonProd","PoweredOn",,"v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\GTODashboard\","toolsNotInstalled","mxavhes0005.active.tan","CorporateCluster","1","2048","16",""
"qastable-gtodashboard-web-01","10.107.123.80 fe80::250:56ff:fe86:69a7","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\GTODashboard\","toolsOld","mxavhes0001.active.tan","CorporateCluster","1","2048","16",""
"qastable-viewmobile-app-01","10.107.123.43 fe80::250:56ff:fe86:7cdd","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0002.active.tan","CorporateCluster","4","4096","16",""
"qastable-viewmobile-db-01","10.107.123.42 fe80::250:56ff:fe86:5336","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0008.active.tan","CorporateCluster","4","4096","16",""
"qastable-viewmobile-memcached-01","10.107.123.49 fe80::250:56ff:fe86:3a95","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0011.active.tan","CorporateCluster","2","4096","16",
"qastable-viewmobile-memcached-02","10.107.123.50 fe80::250:56ff:fe86:51b5","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0003.active.tan","CorporateCluster","2","4096","16",
"qastable-viewmobile-web-01","10.107.123.41 fe80::250:56ff:fe86:7b7d","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\MobileView\","toolsOld","mxavhes0010.active.tan","CorporateCluster","4","4096","16",""
"qastable-viewnoc-db-01","","XADC NonProd","PoweredOn",,"v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\","toolsNotInstalled","mxavhes0006.active.tan","CorporateCluster","1","2048","16",""
"qastable-viewnoc-web-01","10.107.123.74 fe80::250:56ff:fe86:4d6","XADC NonProd","PoweredOn","Debian GNU/Linux 6 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\ViewNoc\","toolsOld","mxavhes0010.active.tan","CorporateCluster","1","2048","16",""
"QuickTest01","10.107.122.170","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0009.active.tan","CorporateCluster","1","2048","50",""
"QuickTest02","10.107.122.171","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0010.active.tan","CorporateCluster","1","2048","50",""
"QuickTest03","10.107.122.172","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0003.active.tan","CorporateCluster","1","2048","50",""
"QuickTest04","10.107.122.173","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0004.active.tan","CorporateCluster","1","2048","50",""
"QuickTest05","10.107.122.174","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0001.active.tan","CorporateCluster","1","2048","50",""
"QuickTest06","10.107.122.175","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\QA Testing - o4.m7.p167\","toolsOld","mxavhes0011.active.tan","CorporateCluster","1","2048","50",""
"RAQAAUTOMATION","10.107.122.138 fe80::cc73:1d13:42d7:a597 169.254.165.151","XADC NonProd","PoweredOn","Microsoft Windows 7 (32-bit)","v8","Outdoors - o1\Campgrounds - o1.m1\AWO - o1.m1.p1\","toolsOk","mxavhes0001.active.tan","CorporateCluster","4","4096","40","owner: Francis Zhang

Used to run regression cases and as a Develop Enviroment to script automation cases"
"RAQATEST01","10.107.122.141 fe80::2857:589:9bfa:a13d 169.254.161.61 fe80::3561:e37c:1b16:6a3f","XADC NonProd","PoweredOn","Microsoft Windows 7 (32-bit)","v8","Outdoors - o1\Campgrounds - o1.m1\AWO - o1.m1.p1\","toolsOld","mxavhes0006.active.tan","CorporateCluster","2","2048","40",""
"RAQATEST02","10.107.122.142 fe80::c937:da5a:741f:d74c 169.254.215.76 fe80::ade9:cf9c:afe3:369d","XADC NonProd","PoweredOn","Microsoft Windows 7 (32-bit)","v8","Outdoors - o1\Campgrounds - o1.m1\AWO - o1.m1.p1\","toolsOld","mxavhes0008.active.tan","CorporateCluster","2","2048","40",""
"RAQATEST03","10.107.122.143 fe80::dc50:d783:c014:6cd4 169.254.108.212 fe80::c122:a9c7:ff08:2e5e","XADC NonProd","PoweredOn","Microsoft Windows 7 (32-bit)","v8","Outdoors - o1\Campgrounds - o1.m1\AWO - o1.m1.p1\","toolsOld","mxavhes0008.active.tan","CorporateCluster","4","8192","40",""
"RAQATEST04","10.107.122.144 fe80::25f0:69fb:d5d0:2c5d 169.254.44.93 fe80::e471:4bdd:fc57:7ef4","XADC NonProd","PoweredOn","Microsoft Windows 7 (32-bit)","v8","Outdoors - o1\Campgrounds - o1.m1\AWO - o1.m1.p1\","toolsOld","mxavhes0003.active.tan","CorporateCluster","4","8192","40",""
"RAQATEST05","10.107.122.145 fe80::10dc:d2b6:a761:6e77 169.254.110.119 fe80::fd2c:b039:6aab:8f6b","XADC NonProd","PoweredOn","Microsoft Windows 7 (32-bit)","v8","Outdoors - o1\Campgrounds - o1.m1\AWO - o1.m1.p1\","toolsOld","mxavhes0007.active.tan","CorporateCluster","4","8192","40",
"RAQATEST06","10.107.122.155 fe80::5d67:3259:22b9:6e11 169.254.110.17 fe80::add7:cbeb:eb3:5c1","XADC NonProd","PoweredOn","Microsoft Windows 7 (32-bit)","v8","Outdoors - o1\Campgrounds - o1.m1\AWO - o1.m1.p1\","toolsOld","mxavhes0004.active.tan","CorporateCluster","2","4096","40",
"RAQATESTautomation","10.107.122.156 fe80::8852:cf9d:c8ac:7f89 169.254.127.137","XADC NonProd","PoweredOn","Microsoft Windows 7 (32-bit)","v8","Outdoors - o1\Campgrounds - o1.m1\AWO - o1.m1.p1\","toolsOk","mxavhes0004.active.tan","CorporateCluster","2","2048","40","owner: Francis Zhang

Used to run regression cases and as a Develop Enviroment to script automation cases"
"RTP-DB","10.107.123.120 fe80::89c1:51f4:156f:7256","XADC NonProd","PoweredOn","Microsoft Windows Server 2008 R2 (64-bit)","v8","Communities - o2\Resorts - o2.m17\RTP - Development - o2.m17.p112\","toolsOld","mxavhes0009.active.tan","CorporateCluster","4","4000","320","Chris Zhang"
"rwdevbuild001.active.local","0.0.0.0 10.107.122.76","XADC NonProd","PoweredOn","Microsoft Windows XP Professional (32-bit)","v9","Outdoors - o1\Hunting and Fishing - o1.m2\ActiveWorks Outdoors - o1.m2.p148\","toolsOk","mxavhes0002.active.tan","CorporateCluster","2","4096","100",""
"rwdevweb001.active.local","10.107.122.226 10.107.122.232 10.107.122.230 10.107.122.236 10.107.122.235 10.107.122.233 10.107.122.234","XADC NonProd","PoweredOn","Microsoft Windows Server 2003 (32-bit)","v9","Outdoors - o1\Hunting and Fishing - o1.m2\ActiveWorks Outdoors - o1.m2.p148\","toolsOld","mxavhes0007.active.tan","CorporateCluster","4","4096","120",""
"rwdevweb002.active.local","10.107.122.34","XADC NonProd","PoweredOn","Microsoft Windows 7 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Infrastructure Shared Services - o4.m6.p61\","toolsOld","mxavhes0002.active.tan","CorporateCluster","2","2048","40",""
"rwqatest001.active.local","0.0.0.0 10.107.122.77","XADC NonProd","PoweredOn","Microsoft Windows XP Professional (32-bit)","v9","Outdoors - o1\Hunting and Fishing - o1.m2\ActiveWorks Outdoors - o1.m2.p148\","toolsOld","mxavhes0009.active.tan","CorporateCluster","4","4096","100",
"SdrsTest","","XADC NonProd","PoweredOn","CentOS 4/5/6/7 (64-bit)","v8","Sports - o6\Endurance - o6.m9\AW Endurance - o6.m9.p75\","toolsOld","mxavhes0001.active.tan","CorporateCluster","2","4096","40",
"security_Hold","10.107.123.222 fe80::250:56ff:fea6:7e1b","XADC NonProd","PoweredOn","CentOS 4/5/6/7 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Infrastructure Security Services - o4.m6.p157\","toolsOld","mxavhes0001.active.tan","CorporateCluster","2","7864","20",
"Security_Scanner","10.107.122.117 fe80::9f5:99c9:f5f3:3fa2 169.254.63.162","XADC NonProd","PoweredOn","Microsoft Windows Server 2008 R2 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Infrastructure Security Services - o4.m6.p157\","toolsOk","mxavhes0004.active.tan","CorporateCluster","4","4000","440.1",
"SHAAMQAADMIN01.dev.activenetwork","","XADC NonProd","PoweredOff","Microsoft Windows Server 2003 (32-bit)","v8","Sports - o6\Discovered virtual machine\","toolsNotRunning","mxavhes0001.active.tan","CorporateCluster","2","2048","130",
"SOI_test_VC_win2k8","","XADC NonProd","PoweredOn",,"v8","Corporate - o4\Corporate - o4.m6\SOI Infrastructure - o4.m6.p67\SOI test\","toolsNotInstalled","mxavhes0011.active.tan","CorporateCluster","4","4096","60",
"sol10x64","","XADC NonProd","PoweredOn","Oracle Solaris 10 (64-bit)","v8","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\","toolsNotInstalled","mxavhes0004.active.tan","CorporateCluster","1","2048","10",
"TEL-Avayademo-1","192.11.13.6 10.107.122.161","XADC NonProd","PoweredOn","Red Hat Enterprise Linux 5 (32-bit)","v8","Corporate - o4\Corporate - o4.m6\IP Telephony - o4.m6.p63\","toolsOk","mxavhes0007.active.tan","CorporateCluster","2","8192","300",
"TEL-Avayademo-2","10.107.123.245 10.107.122.160","XADC NonProd","PoweredOn","Microsoft Windows Server 2003 Standard (64-bit)","v8","Corporate - o4\Corporate - o4.m6\IP Telephony - o4.m6.p63\","toolsOk","mxavhes0007.active.tan","CorporateCluster","2","4096","150",
"TenableAppliance-2.0.1","10.107.60.8","XADC NonProd","PoweredOn","Other 2.6.x Linux (64-bit)","v7","Corporate - o4\Corporate - o4.m6\Unidentified Shared Services - o4.m6.p69\","toolsOk","mxavhes0011.active.tan","CorporateCluster","1","1024","8.5",
"test-chef-01cn","","XADC NonProd","PoweredOn",,"v8","Corporate - o4\Platform Services - o4.m7\SCM Implementation - o4.m7.p108\Chef\","toolsNotInstalled","mxavhes0009.active.tan","CorporateCluster","4","8192","70",
"test-chef-02cn","10.107.122.28 fe80::250:56ff:fe94:6ad6","XADC NonProd","PoweredOn","CentOS 4/5/6/7 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\SCM Implementation - o4.m7.p108\Chef\","toolsOld","mxavhes0011.active.tan","CorporateCluster","4","4096","70",
"test-chef-03cn","10.107.122.30","XADC NonProd","PoweredOn","Microsoft Windows Server 2012 (64-bit)","v8","Corporate - o4\Platform Services - o4.m7\SCM Implementation - o4.m7.p108\Chef\","toolsOk","mxavhes0011.active.tan","CorporateCluster","4","4096","40",
